category,subcategory,artwork_number,title,dimensions,date,edition,technique,exhibition_locations,represented_in_public_collections,local_image_path,original_image_url,source_page
Prints,2011-2016,,Clown and twirl geometric with shadow,297 x 420 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/Clown and twirl geometric 297x420mm.jpg,http://agathesorel.co.uk/Prints/2011-2016/Clown%20and%20twirl%20geometric%20297x420mm.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,Flip Flops and Snorkel,700 x 900 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/Flip Flops and Snorkel 700x900.jpg,http://agathesorel.co.uk/Prints/2011-2016/Flip%20Flops%20and%20Snorkel%20700x900.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,Indian Rug with Yellow Edges,210 x 300 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)","assets/images/prints/Indian Rug, with Yellow Edges 210x300mm.jpg","http://agathesorel.co.uk/Prints/2011-2016/Indian%20Rug,%20with%20Yellow%20Edges%20210x300mm.jpg",http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,No 1 Tissues from triptych,300 x 210 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/No 1 Tissues-from-triptych  300x210mm 2013.jpg,http://agathesorel.co.uk/Prints/2011-2016/No%201%20Tissues-from-triptych%20%20300x210mm%202013.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,No 2 Tissues,300 x 210 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/No 2 Tissues 300x210mm.jpg,http://agathesorel.co.uk/Prints/2011-2016/No%202%20Tissues%20300x210mm.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,No 3 Tissues,300 x 210 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/No 3 Tissues 300x210cm.jpg,http://agathesorel.co.uk/Prints/2011-2016/No%203%20Tissues%20300x210cm.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,Dotty Sculls,297 x 420 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/Dotty_sculls_297x420mm.jpg,http://agathesorel.co.uk/Prints/2011-2016/Dotty_sculls_297x420mm.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,Tatjana's Letter,700 x 980 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/Tatjana's Letter 700x980mm.jpg,http://agathesorel.co.uk/Prints/2011-2016/Tatjana%27s%20Letter%20700x980mm.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,In the Patio,700 x 900 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/In the Patio 700x900mm.png,http://agathesorel.co.uk/Prints/2011-2016/In%20the%20Patio%20700x900mm.png,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,Orange Fencing with Shadows,600 x 800 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/Orange Fencing with Shadows 600x800mm.png,http://agathesorel.co.uk/Prints/2011-2016/Orange%20Fencing%20with%20Shadows%20600x800mm.png,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,Popup Book 1,300 x 420 mm,2011,,Artist's Book,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/Popup Book 1.jpg,http://agathesorel.co.uk/Prints/2011-2016/Popup%20Book%201.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,Sculls near the Volcano,550 x 730 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/Sculls near the Volcano 550x730mm.jpg,http://agathesorel.co.uk/Prints/2011-2016/Sculls%20near%20the%20Volcano%20550x730mm.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,Geometric Display,700 x 900 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/Geometric Display 700x900mm.jpg,http://agathesorel.co.uk/Prints/2011-2016/Geometric%20Display%20700x900mm.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
Prints,2011-2016,,Grass and Luminous Snakes,700 x 900 mm,2011,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/Grass_and_Luminous_Snakes_700x900mm.jpg,http://agathesorel.co.uk/Prints/2011-2016/Grass%20and%20Luminous%20Snakes%20700x900mm.jpg,http://agathesorel.co.uk/Prints/_prints_2011-2016.htm
