site_index,title,match,field,old,new
67,Vagabondage,exact,technique_detail,,"Deep bite, engraving & drilling. Colour viscosity printed in purple-black, orange & yellow"
67,Vagabondage,exact,dimensions,650 x 600 mm,500 x 660 mm
68,Saule Pleureur,exact,technique_detail,,Line engraving printed in black
68,Saule Pleureur,exact,dimensions,600 x 500 mm,500 x 660 mm
69,Via Siena,exact,technique_detail,,"Deep bite, aquatint, colour viscosity printed in brown, purple & orange"
69,Via Siena,exact,dimensions,650 x 600 mm,500 x 660 mm
71,Croisement des Chemins,exact,technique_detail,,"Scraper engraving, aquatint. Colour viscosity print in black orange & blue"
72,Maree,exact,technique_detail,,"Etching & engraving, deep bite. Colour viscosity print in red and blue"
73,Apres la Moisson,exact,technique_detail,,"Scraper sculpted plate, engraving. Colour viscosity print in purple-black, blue & yellow"
74,Le Bois Endormant,exact,technique_detail,,"Deep etching with line etching, scraper engraving. Colour viscosity print in black, yellow and green"
75,Midi,exact,technique_detail,,"Deep bite, engraving. Colour viscosity print in black, blue & red"
76,Libellule,exact,technique_detail,,Line engraving printed in black
77,Vue sur la Montagne,exact,technique_detail,,"Deep bite, colour viscosity print in black, blue, orange & olive"
78,Pluie d'Avril,exact,technique_detail,,"Deep bite, Scraper engraving, aquatint. Colour viscosity print in blue-black, and orange"
79,Troubled Square,exact,technique_detail,,"Deep bitten & cut plate. Colour viscosity print in black, blue & orange"
79,Troubled Square,exact,dimensions,800 x 590 mm,780 x 600 mm
80,Fumee,exact,technique_detail,,Line engraving printed in black
80,Fumee,exact,dimensions,800 x 590 mm,500 x 660 mm
81,Peacock,exact,technique_detail,,"Deep bite, gauge & scraper engraving. Colour viscosity print in orange, brown & purple"
82,Hopfields,exact,technique_detail,,Line engraving printed in black
82,Hopfields,exact,dimensions,690 x 400 mm,590 x 410 mm
83,Petroushka (triptych),exact,technique_detail,,"Pressed metal relief, intaglio & surface printed in black 2 part vignette"
83,Petroushka (triptych),exact,dimensions,262 x 251 mm,500 x 650 mm
84,Electronics for Beginners,exact,technique_detail,,"Deep bite, engraving & drilling. Colour viscosity print in blue-black, red & yellow"
84,Electronics for Beginners,exact,dimensions,660 x 500 mm,780 x 600 mm
85,Suffragette,exact,technique_detail,,Pressed metal collage & engraving printed in red & black
86,Foundry,exact,technique_detail,,"Deep bite, line engraving, drilling, printed in brown-black & red"
86,Foundry,exact,dimensions,300 x 340 mm,390 x 570 mm
87,Outsiders,exact,technique_detail,,"Deep bite, aquatint & dry point, printed in black, grey, red,& green vignette"
88,Box Shapes,exact,technique_detail,,"Aquatint & hardboard cut outs printed in black, ochre, and blue-black"
88,Box Shapes,exact,dimensions,600 x 780 mm,580 x 570 mm
89,Two Cultures,exact,technique_detail,,"Photo gravure, dry point, engraving & brass cut out Printed in black green, yellow, brown & red vignette"
90,Petra,exact,technique_detail,,Line engraving & deep bite printed in black vignette
91,Le Balcon by Jean Genet (Artist's boo title page 1),exact,technique_detail,,"Line engraving, photo etching, gilding. Colour viscosity print printed in black, orange, & pink"
91,Le Balcon by Jean Genet (Artist's boo title page 1),exact,date,1959,1964
91,Le Balcon by Jean Genet (Artist's boo title page 1),exact,dimensions,,640 x 500 mm
92,The General (Le Balcon.. page 2),exact,technique_detail,,Line-engraving & aquatint printed in black. Gilded
92,The General (Le Balcon.. page 2),exact,dimensions,670 x 500 mm,640 x 500 mm
93,The Judge (Le Balcon.. page 3),exact,technique_detail,,"Line-engraving, aquatint, soft ground etching & drilling, printed in black"
93,The Judge (Le Balcon.. page 3),exact,dimensions,670 x 500 mm,640 x 500 mm
94,Chantal (Le Balcon.. page 4),exact,technique_detail,,"Line-engraving, aquatint, drilling printed in black, red, blue. Gilded"
94,Chantal (Le Balcon.. page 4),exact,dimensions,670 x 500 mm,640 x 500 mm
95,Mme. The Queen (Le Balcon.. page 5),exact,technique_detail,,"Sugar aquatint, printed in black, red & yellow"
95,Mme. The Queen (Le Balcon.. page 5),exact,dimensions,670 x 500 mm,640 x 500 mm
96,The Bishop (Le Balcon.. page 6),exact,technique_detail,,"Line-engraving, aquatint & drilling, printed in black. Gilded"
96,The Bishop (Le Balcon.. page 6),exact,dimensions,670 x 500 mm,640 x 500 mm
97,The Orator & the Crowd (Le Balcon.. page 7) jpg,exact,technique_detail,,"Line-engraving, hammered & cut plate. Colour viscosity print in red, blue, & black"
97,The Orator & the Crowd (Le Balcon.. page 7) jpg,exact,dimensions,,640 x 500 mm
98,The Queen (Le Balcon.. page 8),exact,technique_detail,,"Line-engraving, soft ground, open bite & drilling, printed in black and yellow"
98,The Queen (Le Balcon.. page 8),exact,dimensions,670 x 500 mm,640 x 500 mm
99,Mausoleum for the chief of the secret police (Le Balcon),exact,technique_detail,,"Line engraving, sugar aquatint, metal mesh cut-out drilled. Printed in black & Gilded"
