inv_section,inv_no,inv_title,inv_year,inv_size_mm,inv_technique,site_index,site_category,site_subcategory,site_title,site_date,site_dimensions,site_dims_source,site_technique,match,match_score,date_check,dim_check,technique_check
Prints & Graphic Works (1959-2005),1,Vagabondage,1959,500x660,"Deep bite, engraving & drilling. Colour viscosity printed in purple-black, orange & yellow",67,Prints,1959-1966,Vagabondage,1959,500 x 660 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),2,Saule Pleureur,1959,500x660,Line engraving printed in black,68,Prints,1959-1966,Saule Pleureur,1959,500 x 660 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),3,Via Siena,1959,500x660,"Deep bite, aquatint, colour viscosity printed in brown, purple & orange",69,Prints,1959-1966,Via Siena,1959,500 x 660 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),4,Croisement des Chemins,1959,550x600,"Scraper engraving, aquatint. Colour viscosity print in black orange & blue",71,Prints,1959-1966,Croisement des Chemins,1959,550 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),5,Marée,1959,410x540,"Etching & engraving, deep bite. Colour viscosity print in red and blue",72,Prints,1959-1966,Maree,1959,410 x 540 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),6,Après la Moisson (K),1959,410x540,"Scraper sculpted plate, engraving. Colour viscosity print in purple-black, blue & yellow",73,Prints,1959-1966,Apres la Moisson,1959,410 x 540 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),7,Le Bois Endormant,1959,650x600,"Deep etching with line etching, scraper engraving. Colour viscosity print in black, yellow and green",74,Prints,1959-1966,Le Bois Endormant,1959,650 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),8,Midi,1959,650x600,"Deep bite, engraving. Colour viscosity print in black, blue & red",75,Prints,1959-1966,Midi,1959,650 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),9,Libellule,1959,650x600,Line engraving printed in black,76,Prints,1959-1966,Libellule,1959,650 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),10,Vue sur la Montagne,1959,650x440,"Deep bite, colour viscosity print in black, blue, orange & olive",77,Prints,1959-1966,Vue sur la Montagne,1959,650 x 440 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),12,Pluie d'Avril,1960,650x600,"Deep bite, Scraper engraving, aquatint. Colour viscosity print in blue-black, and orange",78,Prints,1959-1966,Pluie d'Avril,1960,650 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),13,Troubled Square (K),1961,780x600,"Deep bitten & cut plate. Colour viscosity print in black, blue & orange",79,Prints,1959-1966,Troubled Square,1961,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),14,Fumée (K),1961,500x660,Line engraving printed in black,80,Prints,1959-1966,Fumee,1961,500 x 660 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),15,Peacock,1961,650x600,"Deep bite, gauge & scraper engraving. Colour viscosity print in orange, brown & purple",81,Prints,1959-1966,Peacock,1961,650 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),16,Hopfields,1961,590x410,Line engraving printed in black,82,Prints,1959-1966,Hopfields,1961,590 x 410 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),17,Kent,1961,590x410,Deep bite colour viscosity print,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),18,Petroushka (triptych) (K),1962,500x650,"Pressed metal relief, intaglio & surface printed in black 2 part vignette",83,Prints,1959-1966,Petroushka (triptych),1962,500 x 650 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),19,Electronics for Beginners (K),1962,780x600,"Deep bite, engraving & drilling. Colour viscosity print in blue-black, red & yellow",84,Prints,1959-1966,Electronics for Beginners,1962,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),20,Suffragette,1962,800x590,Pressed metal collage & engraving printed in red & black,85,Prints,1959-1966,Suffragette,1962,800 x 590 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),21,Foundry,1961,390x570,"Deep bite, line engraving, drilling, printed in brown-black & red",86,Prints,1959-1966,Foundry,1961,390 x 570 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),22,Outsiders,1962,780x600,"Deep bite, aquatint & dry point, printed in black, grey, red,& green vignette",87,Prints,1959-1966,Outsiders,1962,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),23,Box Shapes,1963,580x570,"Aquatint & hardboard cut outs printed in black, ochre, and blue-black",88,Prints,1959-1966,Box Shapes,1963,580 x 570 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),24,Two Cultures (K),1963,780x600,"Photo gravure, dry point, engraving & brass cut out Printed in black green, yellow, brown & red vignette",89,Prints,1959-1966,Two Cultures,1963,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),25,Charm Against Evil,1963,,Engraving and deep bite on copper,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),26,Petra,1963,670x500,Line engraving & deep bite printed in black vignette,90,Prints,1959-1966,Petra,1963,670 x 500 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),27,Le Balcon by Jean Genet (title page) (K),1964,640x500,"Line engraving, photo etching, gilding. Colour viscosity print printed in black, orange, & pink",91,Prints,1959-1966,Le Balcon by Jean Genet (Artist's boo title page 1),1964,640 x 500 mm,field,Artist's Book,exact,1.00,ok,ok,site generic
