site_index,category,subcategory,title,date,dimensions
0,Prints,2011-2016,Clown and twirl geometric with shadow,2011,297 x 420 mm
1,Prints,2011-2016,Flip Flops and Snorkel,2011,700 x 900 mm
3,Prints,2011-2016,No 1 Tissues from triptych,2011,300 x 210 mm
9,Prints,2011-2016,Orange Fencing with Shadows,2011,600 x 800 mm
10,Prints,2011-2016,Popup Book 1,2011,300 x 420 mm
11,Prints,2011-2016,Sculls near the Volcano,2011,550 x 730 mm
12,Prints,2011-2016,Geometric Display,2011,700 x 900 mm
13,Prints,2011-2016,Grass and Luminous Snakes,2011,700 x 900 mm
15,Prints,2011-2016,Mural Project sketch,2011,
16,Prints,2011-2016,Titania at Night,2011,700 x 600 mm
28,Prints,1996-2001,Cheers,1998,780 x 600 mm
70,Prints,1959-1966,Night Drive,1959,650 x 600 mm
112,Prints,2007-2010,Boulders with Orange Fencing,2007,900 x 700 mm
114,Prints,2007-2010,The Indian Rug No.1,2007,660 x 500 mm
168,Prints,2002-2006l,Ship Shapes with Timber (Shipyard),2002,730 x 670 mm
227,Prints,1976-1996,Macho the Cock,1989,780 x 600 mm
234,Sculptures & Installations,Bradford museum retrospective,(2) Helios 240x800x480 mm,1968,
238,Sculptures & Installations,Bradford museum retrospective,(6) Inner Lights 340x180x180 mm,1972,
243,Sculptures & Installations,Bradford museum retrospective,(11) Oyster 2200x1240x700 mm,1983,
248,Sculptures & Installations,Bradford museum retrospective,(16) Embrace 1080x780x300 mm,1987,
251,Sculptures & Installations,Bradford museum retrospective,(19) Swansong 1850x640x550 mm,1989,
255,Sculptures & Installations,Bradford museum retrospective,(23) Fish 1920x880x480 mm,2000,
256,Sculptures & Installations,Bradford museum retrospective,(24) Moon over Water 890x1100x640 mm,2002,
257,Sculptures & Installations,Bradford museum retrospective,(25) Prismatic Shapes 420x230x480 mm,2002,
259,Sculptures & Installations,Bradford museum retrospective,(26) SPA Detail 1640x700x700mm,2003,
260,Sculptures & Installations,Bradford museum retrospective,(27) Installation Nehru Center,2009,
261,Sculptures & Installations,Bradford museum retrospective,(28) Installation Bradford Cartwright Hall,2012,
262,Sculptures & Installations,Bradford museum retrospective,(29) Arch of Swan Nehru Center,2009,
263,Sculptures & Installations,2011-2014,Sculpture - Arch of Swan Bradford Photo AS Figure with Swan Fish1 Nehru Centre,2011,
264,Sculptures & Installations,2011-2014,Arch of Swan,2011,
265,Sculptures & Installations,2011-2014,Bradford Photo AS,2011,
266,Sculptures & Installations,2011-2014,Figure with Swan,2011,
267,Sculptures & Installations,2011-2014,Fish1 Nehru Centre,2011,
268,Sculptures & Installations,1963-2006,0.1 Dorrell Hall Studio,1963,
269,Sculptures & Installations,1963-2006,0.2 Wilton Row Studio,1963,
270,Sculptures & Installations,1963-2006,Space Engravings Catalogue Cover,1963,
271,Sculptures & Installations,1963-2006,01 Silo 600x210x180 mm,1968,
272,Sculptures & Installations,1963-2006,02 Silo Detail,1968,
273,Sculptures & Installations,1963-2006,03 Helios 240x800x480 mm,1968,
274,Sculptures & Installations,1963-2006,04 Helios detail,1963,
276,Sculptures & Installations,1963-2006,06 Hephaistos 900x250x250 mm,1968,
277,Sculptures & Installations,1963-2006,07 Aerodinamic Shapes,1969,
282,Sculptures & Installations,1963-2006,12 Inner Lights 340x180x180 mm,1972,
283,Sculptures & Installations,1963-2006,13 Line in Space 930x560x210 mm,1974,
286,Sculptures & Installations,1963-2006,16 Courtship Dance 2000x2000x2000 mm,1963,
288,Sculptures & Installations,1963-2006,18 Oyster 2200x1240x700 mm,1983,
293,Sculptures & Installations,1963-2006,23 Cockrel (detail),1963,
295,Sculptures & Installations,1963-2006,25 Embrace 1080x780x300 mm,1989,
297,Sculptures & Installations,1963-2006,27 Venus Flytrap,1990,
300,Sculptures & Installations,1963-2006,30 Swansong 1850x640x550 mm,1989,
302,Sculptures & Installations,1963-2006,33 Titania D,1990,
304,Sculptures & Installations,1963-2006,35 King & Queen 450x450x290 mm,2000,
311,Sculptures & Installations,1963-2006,43 INST. Stuttgart Geiger,1963,
312,Sculptures & Installations,1963-2006,44 AS. With Frink,1963,
313,Sculptures & Installations,1963-2006,45 Geiger Flywheel,1963,
314,Sculptures & Installations,1963-2006,46 Geiger- Stuttgart - Titania,1963,
315,Sculptures & Installations,1963-2006,47 Mailar galleriet - Lost Cultures,1963,
316,Sculptures & Installations,1963-2006,48 Mailar galleriet,1963,
319,Sculptures & Installations,1963-2006,51 AS. Paul Kovesdy Gal NY,1963,
321,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
322,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
323,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
324,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
325,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
326,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
327,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
328,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
329,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
330,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
331,Sculptures & Installations,Bradford museum cartwright hall in 2012,Untitled,2012,
332,Livres d'artiste,Dartiste,Le Balcon by Jean Genet (Artist's boo title page 1),,
333,Livres d'artiste,Dartiste,The General (Le Balcon.. page 2),1964,670 x 500 mm
334,Livres d'artiste,Dartiste,The Judge (Le Balcon.. page 3),1964,670 x 500 mm
335,Livres d'artiste,Dartiste,Chantal (Le Balcon.. page 4),1964,670 x 500 mm
336,Livres d'artiste,Dartiste,Mme. The Queen (Le Balcon.. page 5),1964,670 x 500 mm
337,Livres d'artiste,Dartiste,The Bishop (Le Balcon.. page 6),1964,670 x 500 mm
338,Livres d'artiste,Dartiste,The Orator & the Crowd (Le Balcon.. page 7) jpg,1964,
339,Livres d'artiste,Dartiste,The Queen (Le Balcon.. page 8),1964,670 x 500 mm
340,Livres d'artiste,Dartiste,Mausoleum for the chief of the secret police (Le Balcon),,
341,Livres d'artiste,Dartiste,Everyday Irreality (Le Balcon.. page 10) 67,1964,
342,Livres d'artiste,Dartiste,The Fire (Le Balcon.. page 11),1964,670 x 500 mm
343,Livres d'artiste,Dartiste,The Reincarnation of a Cactus,,710 x 600 mm
344,Livres d'artiste,Dartiste,The Ghost of el Greco with poem (Catalana Blanca),1997,
345,Livres d'artiste,Dartiste,The Ghost of el Greco (Catalana Blanca),1997,
346,Livres d'artiste,Dartiste,Catalana Blanca (Catalana Blanca),1997,630 x 900 mm
347,Livres d'artiste,Dartiste,Nijinsky (Catalana Blanca),1997,780 x 600 mm
348,Livres d'artiste,Dartiste,Metamorphosis (Catalana Blanca),1997,780 x 600 mm
349,Livres d'artiste,Dartiste,The Spanish Couple (The Book of Sand),2001,580 x 440 mm
350,Livres d'artiste,Dartiste,Blake (The Book of Sand),2001,340 x 280 mm
351,Livres d'artiste,Dartiste,Men seen afar (The Book of Sand),2001,900 x 630 mm
352,Livres d'artiste,Dartiste,Winged Creatures (The Book of Sand),2001,780 x 530 mm
353,Livres d'artiste,Dartiste,The Round Dance (The Book of Sand),2001,900 x 630 mm
354,Livres d'artiste,Dartiste,The Janus Gaze (The Book of Sand),2001,800 x 590 mm
